area,rooms,floor,elev,parking,price
232,11,12,0,2,2616000
249,11,5,1,2,2917000
225,10,12,1,2,2698000
51,2,7,0,2,784000
192,9,3,0,0,2075000
159,7,10,1,1,1964000
259,12,5,0,1,2722000
100,4,11,0,2,1201000
107,4,9,0,2,1323000
191,9,7,0,0,1923000
96,4,7,1,2,1364000
101,4,5,0,1,1081000
141,6,8,1,1,1743000
129,5,10,0,1,1370000
56,2,4,0,1,658000
73,3,6,1,1,1154000
196,9,7,0,2,2316000
56,2,4,1,2,1006000
87,3,11,1,0,1062000
166,7,2,0,1,1861000
94,4,1,1,2,1415000
230,11,4,0,0,2297000
95,4,5,0,0,1031000
120,5,4,1,0,1442000
67,2,8,0,0,679000
142,6,5,1,1,1837000
87,3,5,1,0,1171000
107,4,10,1,0,1336000
157,7,3,1,0,1794000
99,4,6,0,0,1063000
154,7,3,0,1,1790000
77,3,3,0,0,880000
247,11,4,1,1,2842000
128,5,2,1,1,1611000
247,11,11,1,2,2904000
232,11,2,0,2,2692000
104,4,8,0,1,1113000
219,10,7,1,0,2540000
164,7,3,1,2,2042000
54,2,3,0,0,757000
231,11,1,1,0,2565000
50,2,11,0,1,653000
219,10,3,0,0,2302000
56,2,1,1,1,958000
205,9,9,1,2,2426000
200,9,6,1,2,2471000
118,5,3,1,2,1703000
214,10,1,1,2,2669000
255,12,5,1,1,2910000
140,6,8,1,1,1834000
88,3,4,0,0,850000
102,4,9,0,0,1053000
56,2,3,0,1,858000
241,11,10,1,2,2834000
44,1,5,1,0,666000
248,11,6,0,0,2446000
227,10,8,1,2,2647000
204,9,11,0,0,2105000
171,8,10,0,0,1773000
229,10,2,0,2,2565000
145,6,11,0,1,1535000
164,7,2,1,0,1884000
68,2,1,0,0,764000
245,11,7,1,2,2864000
44,1,7,1,1,843000
96,4,1,0,2,1309000
48,1,8,0,0,528000
168,7,4,0,0,1586000
123,5,11,1,0,1492000
183,8,6,0,0,1878000
66,2,1,1,1,937000
259,12,2,1,2,2968000
237,11,12,1,0,2783000
237,11,1,1,2,2807000
231,11,2,0,0,2604000
243,11,9,1,2,2885000
236,11,10,0,0,2470000
86,3,11,1,1,1182000
157,7,6,0,2,1742000
63,2,4,0,0,552000
108,4,9,0,2,1200000
89,3,8,0,1,1020000
205,9,4,0,0,2017000
70,3,2,0,0,958000
173,8,9,0,2,2052000
203,9,5,1,1,2395000
204,9,6,0,0,1993000
175,8,8,0,0,1780000
209,9,7,0,0,2086000
148,6,9,0,1,1558000
78,3,6,0,1,900000
234,11,7,0,1,2448000
195,9,8,0,2,2195000
178,8,8,0,0,1696000
86,3,2,1,0,1006000
49,1,5,0,0,330000
220,10,11,1,2,2711000
240,11,1,1,1,2768000
86,3,6,0,1,1005000
253,12,10,1,0,2811000
111,5,10,0,1,1365000
129,5,11,1,2,1680000
191,9,2,1,0,2217000
245,11,1,0,2,2855000
228,10,11,0,2,2505000
126,5,1,1,1,1521000
69,2,2,0,1,864000
253,12,7,1,0,2866000
247,11,3,0,2,2722000
45,1,6,0,0,446000
238,11,11,1,1,2723000
60,2,9,1,0,948000
213,10,5,0,1,2277000
164,7,4,1,1,2039000
70,3,12,0,1,954000
46,1,12,1,1,753000
115,5,5,1,1,1493000
259,12,4,0,2,2735000
43,1,12,0,1,480000
146,6,12,0,1,1506000
163,7,12,1,1,1955000
91,4,10,1,2,1385000
171,8,9,1,2,2255000
142,6,11,0,2,1621000
110,5,10,1,2,1560000
60,2,5,0,1,717000
251,12,5,1,0,2874000
139,6,6,1,0,1603000
96,4,8,0,0,931000
114,5,7,0,0,1201000
178,8,11,1,0,1994000
83,3,1,0,0,898000
131,6,2,0,0,1463000
225,10,9,0,1,2278000
121,5,7,0,0,1266000
